CODAUTO	CPRO	CMUN	DC	NOMBRE 
07	24	008	0	Astorga
07	34	017	0	Astudillo
07	49	017	9	Asturianos
01	29	021	3	Atajate
08	16	026	2	Atalaya del Cañavate
07	37	037	8	Atalaya, La
11	06	013	5	Atalaya
08	19	043	2	Atanzón
07	09	029	4	Atapuerca
07	47	011	2	Ataquines
01	18	022	7	Atarfe
16	20	015	0	Ataun
13	28	016	4	Atazar, El
02	50	037	8	Atea
02	50	038	4	Ateca
15	31	040	3	Atez/Atetz
08	19	044	7	Atienza
16	48	091	1	Atxondo
10	46	003	9	Atzeneta d'Albaida
10	12	001	7	Atzeneta del Maestrat
10	03	001	5	Atzúbia, l'
16	48	070	8	Aulesti
08	19	045	0	Auñón
15	31	058	1	Auritz/Burguete
07	42	028	1	Ausejo de la Sierra
17	26	020	1	Ausejo
07	09	030	8	Ausines, Los
07	34	018	6	Autilla del Pino
07	34	019	9	Autillo de Campos
17	26	021	8	Autol
07	05	017	9	Aveinte
07	05	018	5	Avellaneda
09	25	037	1	Avellanes i Santa Linya, Les
07	09	032	0	Avellanosa de Muñó
09	08	011	6	Avià
07	05	019	8	Ávila
03	33	004	5	Avilés
09	08	012	1	Avinyó
09	17	012	3	Avinyonet de Puigventós
09	08	013	7	Avinyonet del Penedès
12	32	004	9	Avión
16	01	010	5	Ayala/Aiara
01	21	010	1	Ayamonte
15	31	041	0	Ayegui/Aiegi
02	22	039	6	Ayerbe
07	40	024	1	Ayllón
08	02	011	7	Ayna
10	12	017	3	Ayódar
07	49	018	5	Ayoó de Vidriales
10	46	044	6	Ayora
07	34	020	3	Ayuela
15	31	042	5	Azagra
02	44	031	6	Azaila
02	22	040	0	Azanuy-Alins
02	22	041	7	Azara
16	20	017	9	Azkoitia
02	22	042	2	Azlor
01	41	012	9	Aznalcázar
01	41	013	5	Aznalcóllar
17	26	022	3	Azofra
16	20	018	5	Azpeitia
11	06	014	0	Azuaga
02	50	039	7	Azuara
10	12	018	9	Azuébar
15	31	043	1	Azuelo
08	19	046	3	Azuqueca de Henares
08	45	017	1	Azután
07	37	038	4	Babilafuente
01	04	019	5	Bacares
11	06	015	3	Badajoz
09	08	015	5	Badalona
17	26	023	9	Badarán
02	44	032	1	Bádenas
09	08	904	5	Badia del Vallès
01	41	014	0	Badolatosa
02	50	040	1	Badules
02	22	043	8	Baélls
01	14	007	6	Baena
01	23	009	8	Baeza
09	08	016	8	Bagà
02	44	033	7	Báguena
02	50	041	8	Bagüés
07	09	033	6	Bahabón de Esgueva
07	47	012	7	Bahabón
08	19	047	9	Baides
01	23	010	2	Bailén
02	22	044	3	Bailo
